X,Y,osm_id,water,natural,diameter
-8.6745774789088,41.2785676192633,332275490,lake,water,
-8.65899324257298,41.2791981084845,438533346,pond,water,
-8.6577525291675,41.2790276031309,332103187,pond,water,3 m
-8.69679213827269,41.2988435134991,350968808,,water,
-8.65310641262746,41.2834680786638,332105379,pond,water,
-8.69493664223119,41.3195694861695,445024629,reservoir,water,
