X,Y,osm_id,building,power,amenity,brand,name,layer,shop,tourism,tower:type,access,addr:housenumber,leisure,office,substation,cuisine,brand:wikipedia,brand:wikidata,takeaway,smoking,wheelchair,old_name,building:colour,addr:city,building:levels,roof:colour,roof:shape,roof:orientation,addr:street,addr:postcode,roof:material,height,unisex,townhall:type,status,internet_access,emergency,roof:height,building:height,surveillance,surveillance_1,craft,alt_name
-8.67445554451122,41.2781079577173,405893839,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67437659154389,41.2778206605369,405893840,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6743156742027,41.2781452865372,405893838,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67397399171083,41.2781977192816,332275708,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67851317602097,41.2793564907434,767994372,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67857373114692,41.2795650408026,767994371,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67845163114692,41.2791449408026,767994373,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67651446894602,41.2785117771458,406778595,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67662051669443,41.2788644445271,406778594,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67863428119243,41.2797773907985,767994370,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67869583114691,41.2799889408026,767994369,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67874893114692,41.2802003408026,767994368,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67565854071779,41.2789363213844,438539417,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67439800554411,41.2785598069462,332274221,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67381687606562,41.2789767811578,332274220,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67478811323471,41.2791505351275,332275734,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67477490079384,41.2793167129994,332275733,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6753175739721,41.2804672803556,407213452,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67544468973045,41.2808356704902,407213450,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67449230169815,41.2807343404822,407213451,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67356230308497,41.2783047730618,332275694,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67341607971423,41.278324763687,332275706,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67169915516637,41.2775361200814,408826351,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67172691555844,41.2777012635347,407491241,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67130749792584,41.2778809618373,407491242,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.671003201447,41.2778587055526,407209950,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6711677632144,41.2781402289125,331241804,house,,,,,,,,,,,,,,,,,,,,Farmácia Azevedo,,,,,,,,,,,,,,,,,,,,,
-8.67086403604191,41.277676367947,407209952,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6705723673841,41.2776121713986,407491249,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67010176393314,41.2775305098668,407491254,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67025198566893,41.2776832380327,407491253,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67076616710514,41.2777663355034,407209953,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67090886735292,41.2778714696695,407209981,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67095084662693,41.2779774502168,407209982,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67069079216072,41.2779008147645,407209951,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67068653891638,41.2779890640429,407209977,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67059358306523,41.2777114684983,407491248,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67052994400492,41.2777817747823,407209955,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67049791657618,41.2776732568828,407209954,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67041009597584,41.2778172649214,407491252,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
