X,Y,osm_id,highway,name,ref,junction,surface,toll,oneway,service,access,layer,tunnel,bicycle,foot,bridge,route,embankment,horse,tracktype,placement,maxspeed,lanes,minspeed,turn:lanes,change:lanes,destination:lanes,alt_name,destination,crossing,footway,segregated,destination:ref:lanes,destination:ref,wikipedia,route_pref_color,wikidata,network,route_name,incline,postal_code,addr:postcode,ele,addr:city,addr:street
-8.71729191513491,41.29660499879,745188326,residential,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7138615,41.2951217,308871468,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7129962,41.2950427,308871469,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70801397095395,41.2916665087795,686429551,unclassified,,,,cobblestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7046855,41.2879355,735328377,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70415295310259,41.2882422487707,288722028,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.7043166,41.28826175,288722029,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70391411409457,41.288428238959,288722030,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70429490073048,41.2886654510604,288722027,service,,,,asphalt,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.7050527,41.28875225,735328383,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70528058924759,41.2887363866538,132744589,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70490024298669,41.2887867894013,132744015,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70461490001401,41.2887489499946,288722026,service,,,,,,yes,parking_aisle,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70393016731231,41.2887908371627,288722014,services,Área de Serviço Vila do Conde,,,,,,,,,,,,,,,,,,,,,,,,Área de Serviço de Modivas,,,,,,,,,,,,,,,,,
-8.70393485,41.2892574,735343676,motorway,,A 28,,asphalt,yes,yes,,,,,,,,,,,,,120,2,50,,,,,,,,,,,,,,,,,,,,,
-8.70263178189014,41.2869649102525,735328387,motorway_link,,,,asphalt,,yes,,,,,,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,,,,
-8.70257155,41.28729205,735343678,motorway,,A 28,,asphalt,yes,yes,,,,,,,,,,,,,120,2,50,,no|no,,,,,,,,,,,,,,,,,,,
-8.70382234699968,41.2875773495585,132744770,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70262856607079,41.2876451650748,735343682,motorway_link,,,,asphalt,,yes,,,,,,,,,,,,,40,1,,,,,,Área de Serviço de Vila do Conde,,,,,,,,,,,,,,,,
-8.70348565,41.2879572,107434314,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70320615,41.2878978,735328385,motorway,,A 28,,asphalt,yes,yes,,,,,,,,,,,,,120,2,50,,,,,,,,,,,,,,,,,,,,,
-8.7028938,41.28832055,735343673,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
-8.70267894367393,41.2882352117426,735343674,service,,,,asphalt,,yes,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
