X,Y,osm_id,amenity,addr:housenumber,name,shop,cuisine,opening_hours,phone,addr:postcode,internet_access,addr:street,website,addr:city
-8.6855911,41.2906892,4222913689,restaurant,1071,Restaurante  Novo Século ,,portuguese,"Mo 07:30-15:00; Tu-Fr 07:30-23:00; Sa 08:00-23:30; Su 08:00-23:00",229271330,4485-766 Vilar ,wlan,Rua Alberto Moreira,,
-8.7138373,41.3235652,2922062663,,LOTE 2,"Masterlist, Lda.",yes,,,,,,Rua 10,,
-8.7050101,41.3198293,2719991833,,603,Hofesa Home Fittings de Portugal,,,,+351 252 660700,4485-093,,Rua dos Combatentes,www.hofesa.pt,Fajozes
-8.7043628,41.3200743,2719991824,,681,"Galécia - Produtos para a Indústria e Construção, S.A.",,,,+351 252 660500,4485-093,,Rua dos Combatentes,http://www.galecia.pt/,Fajozes
